hour, t(sec), P1 (kW), Q1 (kvar), P2 (kW), Q2 (kvar), P3 (kW), Q3 (kvar), P4 (kW), Q4 (kvar)
2, 0.00000, 3.70423, -6.68348E-008, 3.70437, -3.34941E-008, 3.70435, -1.35325E-007, 0, 0
3, 0.00000, 3.70418, -2.88515E-008, 3.70433, -2.42007E-008, 3.7043, -6.85274E-008, 0, 0
4, 0.00000, 3.70455, -2.65271E-008, 3.70461, -1.78955E-008, 3.70466, -4.53836E-008, 0, 0
5, 0.00000, 3.70421, -1.84191E-008, 3.70435, 4.56777E-008, 3.70432, 9.51375E-008, 0, 0
6, 0.00000, 3.70335, 5.3736E-008, 3.70371, -1.24755E-008, 3.70349, 4.09346E-008, 0, 0
7, 0.00000, 3.70423, -6.76586E-008, 3.70437, -3.38996E-008, 3.70435, -1.37006E-007, 0, 0
8, 0.00000, 3.70438, -4.93122E-008, 3.70448, -4.00269E-008, 3.70449, -7.42444E-008, 0, 0
9, 0.00000, 3.70423, -5.53621E-008, 3.70437, -4.91209E-008, 3.70435, -1.38516E-007, 0, 0
10, 0.00000, 3.70351, 2.24732E-008, 3.70383, 1.68105E-008, 3.70365, 7.46996E-008, 0, 0
11, 0.00000, 3.70422, 1.73627E-008, 3.70436, -4.44071E-008, 3.70434, -9.32173E-008, 0, 0
12, 0.00000, 3.70364, 4.16747E-009, 3.70393, 3.17463E-008, 3.70378, 8.95311E-008, 0, 0
13, 0.00000, 3.70418, 1.99473E-008, 3.70433, -5.06768E-008, 3.7043, -1.05864E-007, 0, 0
14, 0.00000, 3.70363, 4.31929E-009, 3.70391, 3.31089E-008, 3.70376, 9.33113E-008, 0, 0
15, 0.00000, 3.70412, -9.53999E-008, 3.70428, -4.7791E-008, 3.70424, -1.94656E-007, 0, 0
16, 0.00000, 3.70406, -4.93023E-008, 3.70424, -4.08979E-008, 3.70418, -1.1669E-007, 0, 0
17, 0.00000, 3.70403, -2.29426E-008, 3.70422, -1.9245E-008, 3.70416, -5.50109E-008, 0, 0
18, 0.00000, 3.7042, 1.86173E-008, 3.70434, -4.74615E-008, 3.70432, -9.93762E-008, 0, 0
19, 0.00000, 3.70394, -8.50738E-009, 3.70415, -1.08037E-008, 3.70407, -3.50384E-008, 0, 0
20, 0.00000, 3.70442, -3.88459E-008, 3.70451, -3.1446E-008, 3.70454, -5.8374E-008, 0, 0
21, 0.00000, 3.70387, 7.07206E-009, 3.70409, 2.26064E-008, 3.70399, 5.0434E-008, 0, 0
22, 0.00000, 3.70427, -5.87417E-008, 3.7044, -2.92718E-008, 3.70438, -1.19022E-007, 0, 0
23, 0.00000, 3.7038, 1.90317E-007, 3.70405, 9.72504E-008, 3.70393, 4.02343E-007, 0, 0
24, 0.00000, -370.37, -5.00263E-006, -370.37, -3.75269E-006, -370.37, -1.69786E-005, 0, 0
25, 0.00000, 3.70414, -9.11266E-008, 3.7043, -4.56872E-008, 3.70426, -1.85837E-007, 0, 0
