hour, t(sec), P1 (kW), Q1 (kvar), P2 (kW), Q2 (kvar), P3 (kW), Q3 (kvar)
2, 0.00000, 408.962, 51.6532, 321.509, -29.817, 434.086, -23.1265
3, 0.00000, 446.237, 77.4843, 350.637, -12.4225, 473.498, 5.81858
4, 0.00000, 162.701, -108.009, 129.077, -138.839, 174.149, -201.028
5, 0.00000, 423.068, 66.5614, 333.594, -19.5378, 450.237, -7.2363
6, 0.00000, 1043.65, 516.579, 811.266, 274.547, 1111.81, 489.434
7, 0.00000, 411.623, 53.4895, 323.589, -28.5787, 436.898, -21.0675
8, 0.00000, 296.844, -22.0877, 233.672, -78.6081, 315.496, -105.052
9, 0.00000, 409.687, 54.6846, 321.885, -26.5334, 434.538, -18.8185
10, 0.00000, 930.186, 429.742, 726.256, 218.49, 993.344, 393.309
11, 0.00000, 420.948, 59.9317, 330.869, -24.2405, 446.747, -13.8498
12, 0.00000, 836.18, 359.798, 652.921, 174.765, 891.849, 316.733
13, 0.00000, 450.238, 80.2693, 353.757, -10.5514, 477.717, 8.93027
14, 0.00000, 848.271, 369.08, 662.297, 180.81, 904.814, 327.008
15, 0.00000, 493.776, 110.836, 388.011, 9.84295, 525.952, 40.4676
16, 0.00000, 537.745, 141.986, 422.349, 30.6763, 572.711, 75.3667
17, 0.00000, 557.745, 156.269, 437.961, 40.207, 593.997, 91.3499
18, 0.00000, 435.591, 70.0806, 342.313, -17.4059, 462.228, -2.47883
19, 0.00000, 622.292, 202.801, 488.055, 71.3428, 660.09, 145.666
20, 0.00000, 262.372, -45.1085, 206.701, -94.3028, 279.185, -130.987
21, 0.00000, 677.887, 243.593, 531.68, 98.1937, 722.065, 188.8
22, 0.00000, 381.229, 35.2117, 300.965, -42.0151, 406.178, -43.4376
23, 0.00000, 722.047, 276.361, 566.058, 119.803, 769.246, 225.257
24, 0.00000, 1251.86, 684.835, 972.791, 379.089, 1342.14, 671.976
25, 0.00000, 481.792, 102.406, 378.647, 4.19227, 513.218, 31.0126
